property,description,example_text,example_url,new_description
VIAF ID,identifier for the Virtual International Authority File database format: up to 22 digits,Aistė Smilgevičiūtė,https://isni.oclc.org/xslt/DB=1.2//CMD?ACT=SRCH&IKT=8006&TRM=ISN%3A0000%200001%203319%203871,VIAF identifier for the Virtual International Authority File.
GND ID,"identifier from an international authority file of names, subjects, and organizations (please don’t use type n = name, disambiguation) - Deutsche Nationalbibliothek",Valya Balkanska,https://portal.dnb.de/opac.htm?method=simpleSearch&cqlMode=true&query=nid%3D131416480,GND identifier for names on the Deutsche Nationalbibliothek.
IPI name number,"identifier for names of a composer, author and other relevant parties", , ,"IPI identifier for names of composers, artist, and other relevant parties."
WorldCat Identities ID,Id for a bibliographic page of an entity on WorldCat. Use P243 OCLC control number for books,Antis [lccn-nr2006020430],https://worldcat.org/identities/lccn-nr2006020430/,Identified for the WorldCat bibliographic page.
Freebase ID,"identifier for a page in the Freebase database. Format: “/m/0” followed by 2 to 7 characters. For those starting with “/g/”, use Google Knowledge Graph identifier (P2671)",Antis [/m/03nxmn],https://www.google.com/search?kgmid=/m/03nxmn,Feebase ID for a page. We collect pages of musical artists.
Library of Congress authority ID,"Library of Congress name authority (persons, families, corporate bodies, events, places, works and expressions) and subject authority identifier Format: 1-2 specific letters followed by 8-10 digits (see regex). For manifestations, use P1144",Antis [nr2006020430],https://id.loc.gov/authorities/names/nr2006020430.html,Identifier issued by the Library of Congress.
Bibliothèque nationale de France ID,"identifier for the subject issued by BNF (Bibliothèque nationale de France). Format: 8 digits followed by a check-digit or letter, do not include the initial ‘cb’.",Jascha Heifetz [13895093v],https://catalogue.bnf.fr/ark:/12148/cb13895093v,Identifier issued by the Bibliothèque Nationale de France.
Canadiana Name Authority ID,"system control number used in the Canadiana Name Authority File, format: “ncf” followed by 8 digits", , ,Identifier for the Canadiana Name Authority File.
LibraryThing author ID,identifier for an author on the LibraryThing website,Jascha Heifetz [heifetzjascha],https://www.librarything.com/author/heifetzjascha,Identifier for an author on the LibraryThing web service.
Portuguese National Library author ID,identifier for an author in the Biblioteca Nacional de Portugal, , ,Identifier issued by the Biblioteca Nacional de Portugal.
National Library of Brazil ID,identifier for an element in the database of the National Library of Brazil, , ,Identifier issued by the National Library of Brazil.
Libraries Australia ID,"identifier issued by the National Library of Australia (see also P1315 for the newer People Australia identifier). VIAF component. Format: 1-12 digits, removing leading zero-padding.",Jascha Heifetz [35398062],https://librariesaustralia.nla.gov.au/search/display?dbid=auth&id=35398062,Identifier issued by the National Library of Australia.
SELIBR ID,identifier per National Library of Sweden Libris library catalog,Jascha Heifetz [306503],https://libris.kb.se/75kns39r43rcgfj,Identifier issued by the National Library of Sweden.
